Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,
ACLBSL,"1,105.00",-1.34,"1,142.40","1,098.00","1,142.40","2,385",,,N/A,N/A
ADBL,290.00,-1.02,293.00,289.00,293.00,"35,376",,,N/A,N/A
AHL,698.00,-3.46,725.00,681.10,715.00,"3,455",,,N/A,N/A
AHPC,259.20,-1.07,265.00,258.30,265.00,"152,874",,,N/A,N/A
AKJCL,207.80,-1.05,213.00,205.30,212.00,"162,900",,,N/A,N/A
AKPL,236.00,-0.17,239.00,232.00,236.40,"95,082",,,N/A,N/A
ALBSL,850.00,-0.93,887.40,840.00,870.00,"3,306",,,N/A,N/A
ALICL,753.00,-2.21,770.00,752.00,770.00,"22,785",,,N/A,N/A
ANLB,"5,080.00",-2.31,"5,150.00","4,895.00","5,096.00","1,427",,,N/A,N/A
API,281.00,-0.71,285.80,278.60,284.50,"141,925",,,N/A,N/A
AVYAN,"1,093.00",-0.55,"1,100.00","1,075.00","1,099.00","5,100",,,N/A,N/A
BARUN,520.00,-1.33,535.90,517.70,530.00,"217,169",,,N/A,N/A
BBC,"5,600.00",5.34,"5,600.00","5,219.00","5,300.00","2,307",,,N/A,N/A
BEDC,801.00,-1.11,824.00,800.00,824.00,"19,928",,,N/A,N/A
BFC,590.00,-1.67,601.00,580.00,601.00,"39,101",,,N/A,N/A
BGWT,"1,057.00",0.86,"1,068.80","1,040.00","1,060.00","9,925",,,N/A,N/A
BHDC,615.20,-1.88,647.00,615.20,625.10,"4,889",,,N/A,N/A
BHL,340.00,-1.02,343.00,337.00,340.00,"7,805",,,N/A,N/A
BHPL,"1,067.10",-0.73,"1,075.00","1,048.00","1,075.00","23,843",,,N/A,N/A
BNHC,527.50,-1.64,533.00,527.30,529.00,"7,751",,,N/A,N/A
BNT,"13,010.00",-1.44,"13,200.00","13,000.00","13,200.00",250,,,N/A,N/A
BPCL,401.00,-0.5,411.00,400.00,411.00,"14,602",,,N/A,N/A
C30MF,9.15,3.86,9.15,8.81,8.81,"6,200",,,N/A,N/A
CBBL,863.00,-0.35,878.00,860.00,878.00,"15,605",,,N/A,N/A
CBLD88,"1,120.40",0.04,"1,120.40","1,120.00","1,120.00",25,,,N/A,N/A
CCBD88,"1,125.00",-1.96,"1,125.00","1,125.00","1,125.00",50,,,N/A,N/A
CFCL,570.00,-4.68,609.90,568.40,609.90,"59,232",,,N/A,N/A
CGH,892.50,-0.5,914.90,890.00,912.00,"19,318",,,N/A,N/A
CHCL,505.10,-0.96,512.00,504.00,511.00,"29,650",,,N/A,N/A
CHDC,"2,221.20",-3,"2,329.90","2,209.00","2,252.00","47,312",,,N/A,N/A
CHL,520.00,0.1,520.30,505.00,510.10,"26,239",,,N/A,N/A
CIT,"1,976.00",-1.1,"1,998.00","1,970.00","1,998.00","13,309",,,N/A,N/A
CITY,885.00,-0.85,900.00,871.00,895.00,"13,394",,,N/A,N/A
CKHL,749.00,-2.47,765.00,738.00,753.00,"4,402",,,N/A,N/A
CLI,539.00,-4.11,565.00,539.00,565.00,"70,449",,,N/A,N/A
CMF2,9.58,1.91,9.58,9.58,9.58,400,,,N/A,N/A
CORBL,"1,906.00",-0.16,"1,915.00","1,813.00","1,877.00","7,982",,,N/A,N/A
CYCL,"1,637.00",-1.03,"1,665.00","1,636.00","1,642.10","2,901",,,N/A,N/A
CZBIL,211.00,-0.61,214.50,210.70,212.50,"45,356",,,N/A,N/A
DDBL,797.90,-1.13,809.00,794.70,809.00,"6,415",,,N/A,N/A
DHPL,411.00,-2.12,427.20,405.20,419.90,"131,741",,,N/A,N/A
DLBS,"1,601.00",-2.2,"1,650.00","1,573.00","1,625.10","2,647",,,N/A,N/A
DOLTI,689.00,-3.23,706.00,685.00,706.00,"18,790",,,N/A,N/A
DORDI,396.90,2.29,426.70,386.00,386.00,"39,367",,,N/A,N/A
EBL,616.00,-0.48,617.80,611.00,615.00,"24,283",,,N/A,N/A
EBLD85,"1,145.10",0.47,"1,145.10","1,143.00","1,143.00",66,,,N/A,N/A
EBLD86,"1,026.00",-1.58,"1,026.00","1,026.00","1,026.00",25,,,N/A,N/A
EDBL,681.00,-1.3,709.90,675.10,677.00,"23,432",,,N/A,N/A
EHPL,766.00,-4.37,815.00,765.00,801.00,"11,877",,,N/A,N/A
ENL,"1,150.00",-1.46,"1,179.00","1,102.00","1,170.00","2,508",,,N/A,N/A
FMDBL,791.00,-1.49,808.00,785.00,795.10,"42,846",,,N/A,N/A
FMDBLP,280.50,-24.19,370.00,370.00,370.00,"140,000",,,N/A,N/A
FOWAD,"1,259.00",0.32,"1,259.00","1,230.00","1,255.00","1,544",,,N/A,N/A
GBBD85,"1,026.50",-0.1,"1,026.50","1,025.00","1,025.00",80,,,N/A,N/A
GBBL,404.80,-1.89,410.00,404.00,409.90,"39,168",,,N/A,N/A
GBILD84/85,"1,163.00",-1.92,"1,163.00","1,163.00","1,163.00",25,,,N/A,N/A
GBILD86/87,"1,015.00",-0.01,"1,015.10","1,015.00","1,015.10",50,,,N/A,N/A
GBIME,222.90,-1.2,226.00,221.60,225.60,"130,034",,,N/A,N/A
GBLBS,836.10,-1.52,867.00,835.00,835.00,"4,570",,,N/A,N/A
GCIL,563.00,-0.71,571.00,555.70,555.70,"95,896",,,N/A,N/A
GFCL,707.90,-0.31,714.00,700.00,710.10,"20,873",,,N/A,N/A
GHL,312.00,0.65,318.00,300.00,303.80,"1,193,937",,,N/A,N/A
GIBF1,9.81,-0.2,9.90,9.70,9.70,"5,100",,,N/A,N/A
GILB,"1,280.00",-0.16,"1,281.00","1,256.00","1,264.00","4,905",,,N/A,N/A
GLBSL,"2,884.00",-0.25,"2,958.00","2,855.00","2,855.00","2,588",,,N/A,N/A
GLH,249.10,-1.15,256.90,249.00,255.00,"49,559",,,N/A,N/A
GMFBS,"1,724.00",1.39,"1,724.00","1,692.10","1,702.20","2,865",,,N/A,N/A
GMFIL,511.00,-1.01,523.50,490.10,523.50,"34,871",,,N/A,N/A
GMLI,"1,944.10",-0.86,"1,960.50","1,901.00","1,922.00","134,733",,,N/A,N/A
GRDBL,"1,258.00",-7.91,"1,338.70","1,229.40","1,338.70","60,607",,,N/A,N/A
GSY,9.00,-0.22,9.20,8.93,9.10,"9,520",,,N/A,N/A
GUFL,607.10,-0.15,632.00,604.00,610.00,"20,645",,,N/A,N/A
GVL,499.90,1.4,499.90,485.30,490.60,"10,993",,,N/A,N/A
H8020,10.21,0.29,10.30,9.99,9.99,"12,500",,,N/A,N/A
HATHY,"1,345.00",-3.38,"1,380.00","1,336.10","1,370.20","25,085",,,N/A,N/A
HBL,239.00,-0.83,245.70,236.20,245.70,"44,568",,,N/A,N/A
HBLD86,"1,100.00",0,"1,100.00","1,100.00","1,100.00",25,,,N/A,N/A
HDHPC,202.90,-0.98,208.00,201.10,206.00,"100,525",,,N/A,N/A
HDL,"1,218.00",0.26,"1,238.00","1,200.00","1,238.00","56,101",,,N/A,N/A
HEI,626.90,-1.59,637.00,625.00,637.00,"8,285",,,N/A,N/A
