"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SPDL","2025-03-23","340","340","322","323.7","-3.03 %","75,464.00"
"SPDL","2025-03-20","339","339","326","333.82","0.43 %","48,072.00"
"SPDL","2025-03-19","329","335","328.1","332.4","0.12 %","72,485.00"
"SPDL","2025-03-18","340","340","331","332","-0.90 %","34,998.00"
"SPDL","2025-03-17","339","342.9","335","335","-1.44 %","31,253.00"
"SPDL","2025-03-16","340","344","334","339.9","0.12 %","52,204.00"
"SPDL","2025-03-12","339.8","354.9","338","339.5","1.37 %","109,972.00"
"SPDL","2025-03-11","340","348","334.7","334.9","-2.36 %","95,924.00"
"SPDL","2025-03-10","348","352","340.7","343","-0.87 %","58,814.00"
"SPDL","2025-03-09","356.9","359","345.1","346","-1.96 %","89,983.00"
"SPDL","2025-03-06","359.8","359.8","350","352.9","-0.31 %","80,991.00"
"SPDL","2025-03-05","359.1","362.9","352.3","354","-1.12 %","98,280.00"
"SPDL","2025-03-04","351.8","366.9","351.8","358","-0.25 %","137,341.00"
"SPDL","2025-03-03","371.9","373.9","355.3","358.9","-2.21 %","116,970.00"
"SPDL","2025-03-02","365","370","359","367","1.38 %","115,672.00"
"SPDL","2025-02-27","360","367","353.1","362","2.29 %","140,091.00"
"SPDL","2025-02-25","359","359","350.2","353.9","0.06 %","85,709.00"
"SPDL","2025-02-24","359","364","352.2","353.7","-0.20 %","110,697.00"
"SPDL","2025-02-23","350.1","366","345","354.4","-0.45 %","146,408.00"
"SPDL","2025-02-20","369.9","369.9","355.3","356","-1.93 %","117,045.00"
"SPDL","2025-02-18","370","370","358.2","363","-1.06 %","151,757.00"
"SPDL","2025-02-17","373","376.5","365.2","366.9","-1.11 %","147,977.00"
"SPDL","2025-02-16","373","380","369","371","-1.33 %","225,743.00"
"SPDL","2025-02-13","373","381.9","372.5","376","0.40 %","282,767.00"
"SPDL","2025-02-12","378","387","370.5","374.5","0.94 %","419,100.00"
"SPDL","2025-02-11","355","377.2","355","371","4.24 %","352,084.00"
"SPDL","2025-02-10","357","364","352.2","355.9","-1.90 %","211,156.00"
"SPDL","2025-02-09","370","373","357.5","362.8","-0.87 %","260,447.00"
"SPDL","2025-02-06","370","378","364","366","0.55 %","383,545.00"
"SPDL","2025-02-05","348","369","348","364","4.90 %","612,997.00"
"SPDL","2025-02-04","347","355","340.3","347","0.87 %","172,731.00"
"SPDL","2025-02-03","353.9","354","340","344","-1.15 %","215,028.00"
"SPDL","2025-02-02","350.9","357","339","348","0.87 %","245,001.00"
"SPDL","2025-01-28","344.9","351","343","345","1.47 %","167,367.00"
"SPDL","2025-01-27","344","350.8","338","340","0.59 %","228,566.00"
"SPDL","2025-01-26","335.2","346.8","335.2","338","0.57 %","158,467.00"
"SPDL","2025-01-23","338","343.9","334.5","336.1","0.33 %","175,164.00"
"SPDL","2025-01-22","333","336","327.2","335","2.60 %","101,854.00"
"SPDL","2025-01-21","330.1","335","325.5","326.5","-1.92 %","66,470.00"
"SPDL","2025-01-20","338.9","338.9","331.1","332.9","-0.63 %","84,791.00"
"SPDL","2025-01-19","332","335","322","335","2.86 %","81,148.00"
"SPDL","2025-01-16","331.9","334.5","322","325.7","-0.55 %","94,215.00"
"SPDL","2025-01-15","338.8","338.9","326.5","327.5","-1.65 %","108,089.00"
"SPDL","2025-01-13","349.5","349.5","332","333","-2.83 %","199,800.00"
"SPDL","2025-01-12","365","365","340.1","342.7","-4.27 %","216,295.00"
"SPDL","2025-01-09","339","369","336.5","358","5.60 %","806,194.00"
"SPDL","2025-01-08","340","341","332.1","339","1.19 %","112,029.00"
"SPDL","2025-01-07","344.7","344.7","331","335","-0.89 %","109,067.00"
"SPDL","2025-01-06","337","338","328.3","338","2.11 %","149,810.00"
"SPDL","2025-01-05","328","333","325.1","331","1.81 %","75,652.00"
"SPDL","2025-01-02","325","330","318.6","325.1","1.88 %","45,923.00"
"SPDL","2025-01-01","320.1","323","317.5","319.1","0.98 %","21,448.00"
"SPDL","2024-12-31","319","321","311.6","316","-2.14 %","47,926.00"
"SPDL","2024-12-29","335","335","320.3","322.9","-2.15 %","48,068.00"
"SPDL","2024-12-26","334","334","327","330","-1.20 %","75,284.00"
"SPDL","2024-12-24","332.4","334","325.8","334","2.49 %","102,644.00"
"SPDL","2024-12-23","323","329","318.5","325.9","2.81 %","48,871.00"
"SPDL","2024-12-22","311","329","311","317","-0.03 %","51,508.00"
"SPDL","2024-12-19","329.9","329.9","317","317.1","-1.98 %","87,900.00"
"SPDL","2024-12-18","320.1","327.7","320.1","323.5","-0.15 %","54,786.00"
"SPDL","2024-12-17","320","330.6","309","324","-0.12 %","59,067.00"
"SPDL","2024-12-16","330","332.5","323.1","324.4","-3.14 %","93,933.00"
"SPDL","2024-12-12","337","343.2","332","334.9","0.24 %","174,021.00"
"SPDL","2024-12-11","317.1","337.1","317.1","334.1","3.37 %","158,567.00"
"SPDL","2024-12-10","321","328.9","321","323.2","-0.68 %","44,312.00"
"SPDL","2024-12-09","329.4","329.4","323","325.4","0.74 %","60,610.00"
"SPDL","2024-12-08","329.8","331","318","323","-0.92 %","90,889.00"
"SPDL","2024-12-05","338","338","323.4","326","-1.95 %","175,429.00"
"SPDL","2024-12-04","327.9","340","320","332.5","2.94 %","249,053.00"
"SPDL","2024-12-03","326","329.1","320","323","0.94 %","64,183.00"
"SPDL","2024-12-02","324.9","331","320","320","0.03 %","87,513.00"
"SPDL","2024-12-01","323","324.3","308","319.9","-0.87 %","72,720.00"
"SPDL","2024-11-28","334.4","334.4","320","322.7","-1.59 %","53,080.00"
"SPDL","2024-11-27","324.6","328.5","319","327.9","3.02 %","64,159.00"
"SPDL","2024-11-26","315","321","310.2","318.3","2.98 %","53,199.00"
"SPDL","2024-11-25","314","314","308.1","309.1","0.36 %","50,340.00"
"SPDL","2024-11-24","316","317","307.7","308","-1.57 %","45,029.00"
"SPDL","2024-11-21","324","325","312.9","312.9","-1.88 %","69,155.00"
"SPDL","2024-11-20","319.8","322.5","316","318.9","0.92 %","69,510.00"
"SPDL","2024-11-19","330","330","314.1","316","-3.95 %","134,758.00"
"SPDL","2024-11-17","340","347","329","329","-1.50 %","153,634.00"
"SPDL","2024-11-14","325","338","322","334","2.77 %","156,719.00"
"SPDL","2024-11-13","325.1","328.5","321","325","0.00 %","57,778.00"
"SPDL","2024-11-12","327.2","333.7","323","325","-0.94 %","78,650.00"
"SPDL","2024-11-11","335","343","322.6","328.1","-3.50 %","296,145.00"
"SPDL","2024-11-10","340.6","344","334","340","1.80 %","170,678.00"
"SPDL","2024-11-06","324.3","335","317","334","5.03 %","302,231.00"
"SPDL","2024-11-05","320","324","316","318","-0.31 %","79,389.00"
"SPDL","2024-10-30","324.2","326","314","319","0.35 %","93,343.00"
"SPDL","2024-10-29","316.5","322","315.2","317.9","0.66 %","175,102.00"
"SPDL","2024-10-28","307","317","307","315.8","1.87 %","131,682.00"
"SPDL","2024-10-27","310","310.9","306.5","310","0.00 %","60,326.00"
"SPDL","2024-10-24","310","310","304","310","0.00 %","48,043.00"
"SPDL","2024-10-23","310","311","302","310","1.64 %","76,994.00"
"SPDL","2024-10-22","296","309","295","305","1.70 %","30,201.00"
"SPDL","2024-10-21","304","310.9","298","299.9","-2.91 %","66,248.00"
"SPDL","2024-10-20","305","317.1","304","308.9","-0.35 %","171,619.00"
"SPDL","2024-10-17","315","319","307","310","-0.35 %","80,800.00"
"SPDL","2024-10-16","312.3","315","310.7","311.1","1.60 %","30,545.00"
"SPDL","2024-10-15","311.1","316.2","304.5","306.2","0.39 %","12,290.00"
"SPDL","2024-10-09","304","309","301","305","0.63 %","66,405.00"
"SPDL","2024-10-08","309","313.2","303","303.1","-3.16 %","67,753.00"
"SPDL","2024-10-07","319","323.9","313","313","-1.88 %","87,837.00"
"SPDL","2024-10-06","295","319","289.3","319","8.14 %","89,828.00"
"SPDL","2024-10-02","292","301","285.4","295","-0.67 %","96,032.00"
"SPDL","2024-10-01","279.9","298","275","297","8.04 %","110,855.00"
"SPDL","2024-09-30","266.1","275","266","274.9","3.74 %","40,961.00"
"SPDL","2024-09-29","269","273","262","265","-1.85 %","37,494.00"
"SPDL","2024-09-26","282","286.5","266.6","270","-4.42 %","60,899.00"
"SPDL","2024-09-25","267.3","282.5","260","282.5","7.78 %","86,566.00"
"SPDL","2024-09-24","280","285","260","262.1","-6.63 %","61,108.00"
"SPDL","2024-09-23","290","290","280","280.7","-3.87 %","56,240.00"
"SPDL","2024-09-22","297.1","300","288","292","0.24 %","19,058.00"
"SPDL","2024-09-18","298.8","298.8","289","291.3","-0.58 %","54,539.00"
"SPDL","2024-09-16","294","300","291","293","-2.33 %","52,914.00"
"SPDL","2024-09-15","309","313.5","296","300","-2.28 %","129,677.00"
"SPDL","2024-09-12","293","310","291","307","4.78 %","70,604.00"
"SPDL","2024-09-11","296","312","291.1","293","-2.01 %","51,785.00"
"SPDL","2024-09-10","310","316","298.1","299","-1.97 %","70,335.00"
"SPDL","2024-09-09","308.5","313","302.1","305","-2.56 %","76,341.00"
"SPDL","2024-09-08","322","322.3","310","313","-0.95 %","81,368.00"
"SPDL","2024-09-05","313.7","321","310","316","-1.25 %","83,812.00"
"SPDL","2024-09-04","330","334.9","315.1","320","-3.61 %","164,921.00"
"SPDL","2024-09-03","335","338.5","322.5","332","0.61 %","173,073.00"
"SPDL","2024-09-02","315","332","309","330","5.43 %","129,471.00"
"SPDL","2024-09-01","326","326","309","313","-2.19 %","127,536.00"
"SPDL","2024-08-29","329.4","330","316.7","320","-0.93 %","146,268.00"
"SPDL","2024-08-28","329","338.7","318.6","323","0.00 %","271,270.00"
"SPDL","2024-08-27","340.1","349","320","323","-6.65 %","178,579.00"
"SPDL","2024-08-25","365","365","344","346","-4.95 %","166,246.00"
"SPDL","2024-08-22","363.9","365","350","364","1.68 %","164,286.00"
"SPDL","2024-08-21","360.9","368","350","358","1.13 %","184,079.00"
"SPDL","2024-08-18","375","380","343.1","354","-5.09 %","298,785.00"
"SPDL","2024-08-15","363","389","355","373","4.75 %","467,787.00"
"SPDL","2024-08-14","357","359.8","338","356.1","1.74 %","214,455.00"
"SPDL","2024-08-13","365","365.1","340","350","-2.23 %","215,363.00"
"SPDL","2024-08-12","346.5","358","338.1","358","5.36 %","334,682.00"
"SPDL","2024-08-11","327.4","343.6","327","339.8","5.86 %","278,908.00"
"SPDL","2024-08-08","334.3","336.5","320","321","-2.13 %","204,244.00"
"SPDL","2024-08-07","310","329.8","309","328","6.49 %","156,919.00"
"SPDL","2024-08-06","330","346.8","305.1","308","-7.78 %","303,042.00"
"SPDL","2024-08-05","324","340","318","334","2.96 %","285,319.00"
"SPDL","2024-08-01","340.5","345","323","324.4","-5.42 %","331,202.00"
