"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SPDL","2025-03-23","340","340","322","323.7","-3.03 %","75,464.00"
"SPDL","2025-03-20","339","339","326","333.82","0.43 %","48,072.00"
"SPDL","2025-03-19","329","335","328.1","332.4","0.12 %","72,485.00"
"SPDL","2025-03-18","340","340","331","332","-0.90 %","34,998.00"
"SPDL","2025-03-17","339","342.9","335","335","-1.44 %","31,253.00"
"SPDL","2025-03-16","340","344","334","339.9","0.12 %","52,204.00"
"SPDL","2025-03-12","339.8","354.9","338","339.5","1.37 %","109,972.00"
"SPDL","2025-03-11","340","348","334.7","334.9","-2.36 %","95,924.00"
"SPDL","2025-03-10","348","352","340.7","343","-0.87 %","58,814.00"
"SPDL","2025-03-09","356.9","359","345.1","346","-1.96 %","89,983.00"
"SPDL","2025-03-06","359.8","359.8","350","352.9","-0.31 %","80,991.00"
"SPDL","2025-03-05","359.1","362.9","352.3","354","-1.12 %","98,280.00"
"SPDL","2025-03-04","351.8","366.9","351.8","358","-0.25 %","137,341.00"
"SPDL","2025-03-03","371.9","373.9","355.3","358.9","-2.21 %","116,970.00"
"SPDL","2025-03-02","365","370","359","367","1.38 %","115,672.00"
"SPDL","2025-02-27","360","367","353.1","362","2.29 %","140,091.00"
"SPDL","2025-02-25","359","359","350.2","353.9","0.06 %","85,709.00"
"SPDL","2025-02-24","359","364","352.2","353.7","-0.20 %","110,697.00"
"SPDL","2025-02-23","350.1","366","345","354.4","-0.45 %","146,408.00"
"SPDL","2025-02-20","369.9","369.9","355.3","356","-1.93 %","117,045.00"
"SPDL","2025-02-18","370","370","358.2","363","-1.06 %","151,757.00"
"SPDL","2025-02-17","373","376.5","365.2","366.9","-1.11 %","147,977.00"
"SPDL","2025-02-16","373","380","369","371","-1.33 %","225,743.00"
"SPDL","2025-02-13","373","381.9","372.5","376","0.40 %","282,767.00"
"SPDL","2025-02-12","378","387","370.5","374.5","0.94 %","419,100.00"
"SPDL","2025-02-11","355","377.2","355","371","4.24 %","352,084.00"
"SPDL","2025-02-10","357","364","352.2","355.9","-1.90 %","211,156.00"
"SPDL","2025-02-09","370","373","357.5","362.8","-0.87 %","260,447.00"
"SPDL","2025-02-06","370","378","364","366","0.55 %","383,545.00"
"SPDL","2025-02-05","348","369","348","364","4.90 %","612,997.00"
"SPDL","2025-02-04","347","355","340.3","347","0.87 %","172,731.00"
"SPDL","2025-02-03","353.9","354","340","344","-1.15 %","215,028.00"
"SPDL","2025-02-02","350.9","357","339","348","0.87 %","245,001.00"
